T_ID,YEAR,ERA
LG,2016,5.584758942457231
LG,2016,5.551401869158879
LG,2016,5.4
LG,2016,5.7375
LG,2016,5.274418604651164
LG,2016,5.8640625
LG,2016,4.916666666666667
LG,2016,5.764521193092621
LG,2016,4.811059907834101
LG,2016,6.023400936037443
LG,2016,4.423493044822257
LG,2016,5.897035881435259
LG,2016,4.506955177743432
LG,2016,5.990625
LG,2016,4.423493044822257
LG,2016,6.2015625
LG,2016,4.486024844720498
LG,2016,6.234009360374415
LG,2016,4.464898595943838
LG,2016,6.0655226209048365
LG,2016,4.380655226209049
LG,2016,6.178683385579938
LG,2016,4.569875776397517
LG,2016,6.250393700787402
LG,2016,4.548686244204019
LG,2016,6.633070866141733
LG,2016,4.256568778979908
LG,2016,6.633070866141733
LG,2016,4.108695652173913
LG,2016,6.590551181102363
LG,2016,4.318322981366459
LG,2016,6.644200626959248
LG,2016,3.9227202472952087
LG,2016,6.486739469578782
LG,2016,4.569875776397517
LG,2016,6.27613104524181
LG,2016,4.653726708074534
LG,2016,6.094043887147336
LG,2016,4.695652173913044
LG,2016,6.263322884012539
LG,2016,4.569875776397517
LG,2016,5.9484375
LG,2016,4.813953488372093
LG,2016,6.0
LG,2016,4.939534883720929
LG,2016,5.886255924170616
LG,2016,5.130841121495328
LG,2016,5.845794392523365
LG,2016,5.075829383886256
HH,2016,4.764705882352942
HH,2016,5.0107361963190185
HH,2016,6.4125
HH,2016,4.642533936651584
HH,2016,5.0107361963190185
HH,2016,4.683257918552036
HH,2016,5.383435582822084
HH,2016,4.830275229357798
HH,2016,5.383435582822084
HH,2016,4.706422018348624
HH,2016,5.507668711656442
HH,2016,4.622727272727274
HH,2016,5.962674961119751
HH,2016,4.745454545454545
HH,2016,5.794712286158632
HH,2016,4.890410958904108
HH,2016,5.668740279937793
HH,2016,4.726027397260274
HH,2016,5.7375
HH,2016,4.830275229357798
HH,2016,5.6953125
HH,2016,4.912844036697249
HH,2016,5.9484375
HH,2016,4.871559633027523
HH,2016,5.9484375
HH,2016,4.726027397260274
HH,2016,6.1171875
HH,2016,4.890410958904108
HH,2016,5.90625
HH,2016,4.9984825493171465
HH,2016,5.943396226415095
HH,2016,4.6297420333839145
HH,2016,6.15566037735849
HH,2016,4.547799696509864
HH,2016,6.283018867924527
HH,2016,4.4658573596358115
HH,2016,6.834905660377357
HH,2016,4.735384615384616
HH,2016,6.622641509433963
HH,2016,4.837672281776417
HH,2016,6.557142857142857
HH,2016,5.127105666156202
HH,2016,6.257142857142857
HH,2016,5.150769230769232
HH,2016,6.3
HH,2016,5.491525423728813
HH,2016,6.118858954041205
HH,2016,5.176380368098159
HH,2016,6.332805071315372
NC,2016,5.0599078341013835
NC,2016,5.057142857142857
NC,2016,5.086342229199372
NC,2016,5.25
